index,can,x,y
0,1,-371.26502434324277,-371.26502434324277
1,2,-222.7590146059457,-371.26502434324277
2,3,-74.25300486864856,-371.26502434324277
3,4,74.25300486864856,-371.26502434324277
4,5,222.7590146059457,-371.26502434324277
5,6,371.26502434324277,-371.26502434324277
6,7,-297.01201947459424,-327.58678618521424
7,8,-148.50600973729712,-327.58678618521424
8,9,0.0,-327.58678618521424
9,10,148.50600973729712,-327.58678618521424
10,11,297.01201947459424,-327.58678618521424
11,12,-371.26502434324277,-283.90854802718565
12,13,-222.7590146059457,-283.90854802718565
13,14,-74.25300486864856,-283.90854802718565
14,15,74.25300486864856,-283.90854802718565
15,16,222.7590146059457,-283.90854802718565
16,17,371.26502434324277,-283.90854802718565
17,18,-297.01201947459424,-240.23030986915717
18,19,-148.50600973729712,-240.23030986915717
19,20,0.0,-240.23030986915717
20,21,148.50600973729712,-240.23030986915717
21,22,297.01201947459424,-240.23030986915717
22,23,-371.26502434324277,-196.55207171112843
23,24,-222.7590146059457,-196.55207171112843
24,25,-74.25300486864856,-196.55207171112843
25,26,74.25300486864856,-196.55207171112843
26,27,222.7590146059457,-196.55207171112843
27,28,371.26502434324277,-196.55207171112843
28,29,-297.01201947459424,-152.87383355309998
29,30,-148.50600973729712,-152.87383355309998
30,31,0.0,-152.87383355309998
31,32,148.50600973729712,-152.87383355309998
32,33,297.01201947459424,-152.87383355309998
33,34,-371.26502434324277,-109.19559539507142
34,35,-222.7590146059457,-109.19559539507142
35,36,-74.25300486864856,-109.19559539507142
36,37,74.25300486864856,-109.19559539507142
37,38,222.7590146059457,-109.19559539507142
38,39,371.26502434324277,-109.19559539507142
39,40,-297.01201947459424,-65.51735723704286
40,41,-148.50600973729712,-65.51735723704286
41,42,0.0,-65.51735723704286
42,43,148.50600973729712,-65.51735723704286
43,44,297.01201947459424,-65.51735723704286
44,45,-371.26502434324277,-21.83911907901429
45,46,-222.7590146059457,-21.83911907901429
46,47,-74.25300486864856,-21.83911907901429
47,48,74.25300486864856,-21.83911907901429
48,49,222.7590146059457,-21.83911907901429
49,50,371.26502434324277,-21.83911907901429
50,51,-297.01201947459424,21.83911907901429
51,52,-148.50600973729712,21.83911907901429
52,53,0.0,21.83911907901429
53,54,148.50600973729712,21.83911907901429
54,55,297.01201947459424,21.83911907901429
55,56,-371.26502434324277,65.51735723704286
56,57,-222.7590146059457,65.51735723704286
57,58,-74.25300486864856,65.51735723704286
58,59,74.25300486864856,65.51735723704286
59,60,222.7590146059457,65.51735723704286
60,61,371.26502434324277,65.51735723704286
61,62,-297.01201947459424,109.19559539507142
62,63,-148.50600973729712,109.19559539507142
63,64,0.0,109.19559539507142
64,65,148.50600973729712,109.19559539507142
65,66,297.01201947459424,109.19559539507142
66,67,-371.26502434324277,152.87383355309998
67,68,-222.7590146059457,152.87383355309998
68,69,-74.25300486864856,152.87383355309998
69,70,74.25300486864856,152.87383355309998
70,71,222.7590146059457,152.87383355309998
71,72,371.26502434324277,152.87383355309998
72,73,-297.01201947459424,196.55207171112843
73,74,-148.50600973729712,196.55207171112843
74,75,0.0,196.55207171112843
75,76,148.50600973729712,196.55207171112843
76,77,297.01201947459424,196.55207171112843
77,78,-371.26502434324277,240.23030986915717
78,79,-222.7590146059457,240.23030986915717
79,80,-74.25300486864856,240.23030986915717
80,81,74.25300486864856,240.23030986915717
81,82,222.7590146059457,240.23030986915717
82,83,371.26502434324277,240.23030986915717
83,84,-297.01201947459424,283.90854802718565
84,85,-148.50600973729712,283.90854802718565
85,86,0.0,283.90854802718565
86,87,148.50600973729712,283.90854802718565
87,88,297.01201947459424,283.90854802718565
88,89,-371.26502434324277,327.58678618521424
89,90,-222.7590146059457,327.58678618521424
90,91,-74.25300486864856,327.58678618521424
91,92,74.25300486864856,327.58678618521424
92,93,222.7590146059457,327.58678618521424
93,94,371.26502434324277,327.58678618521424
94,95,-297.01201947459424,371.26502434324277
95,96,-148.50600973729712,371.26502434324277
96,97,0.0,371.26502434324277
97,98,148.50600973729712,371.26502434324277
98,99,297.01201947459424,371.26502434324277
